"Name","Team","W","L","ERA","G","GS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","playerid"
"Shelby Miller","Braves","2","1","0.95","5","5","2","2","0","0","0","38.0","138","20","4","4","1","6","0","2","0","1","26","10197"
"Zack Greinke","Dodgers","1","1","1.05","5","5","0","0","0","0","0","34.1","128","21","5","4","3","7","0","1","1","0","31","1943"
"Ryan Vogelsong","Giants","4","0","1.14","5","5","0","0","0","0","0","31.2","123","21","4","4","1","9","0","0","0","0","21","1011"
"Kyle Gibson","Twins","3","1","1.36","6","6","0","0","0","0","0","39.2","158","33","7","6","3","9","2","3","1","0","24","10123"
"Chris Young","Royals","3","1","1.45","6","5","0","0","0","0","0","31.0","122","20","6","5","2","9","0","0","0","0","25","3196"
"Aaron Harang","Phillies","2","3","1.62","6","6","0","0","0","0","0","39.0","156","32","11","7","3","8","0","2","0","0","26","1451"
"Sonny Gray","Athletics","3","2","1.67","6","6","0","0","0","0","0","37.2","151","26","7","7","2","14","0","1","4","0","41","12768"
"Max Scherzer","Nationals","5","1","1.67","6","6","0","0","0","0","0","43.0","167","33","8","8","3","6","0","1","1","0","56","3137"
"Jon Lester","Cubs","4","1","1.76","6","6","0","0","0","0","0","41.0","172","36","12","8","6","12","0","1","2","0","37","4930"
"A.J. Burnett","Pirates","5","0","1.82","6","6","0","0","0","0","0","39.2","156","31","10","8","1","13","0","1","1","0","39","512"
"John Lackey","Cardinals","2","2","1.89","6","6","1","0","0","0","0","38.0","156","30","8","8","1","12","2","2","1","1","33","1507"
"Jordan Zimmermann","Nationals","2","0","1.91","5","5","0","0","0","0","0","33.0","135","31","8","7","2","8","0","0","0","0","23","4505"
"Jesse Chavez","Athletics","2","3","1.93","6","6","0","0","0","0","0","42.0","162","34","11","9","1","8","0","0","2","0","33","5448"
"James Paxton","Mariners","3","1","1.99","5","5","0","0","0","0","0","31.2","130","24","8","7","3","14","1","0","2","0","19","11828"
"Felix Hernandez","Mariners","4","1","2.00","5","5","1","1","0","0","0","36.0","136","26","8","8","6","9","0","1","1","0","35","4772"
"Hector Santiago","Angels","2","2","2.11","6","6","0","0","0","0","0","38.1","157","31","10","9","3","13","2","0","0","2","35","4026"
"Jacob deGrom","Mets","3","1","2.16","5","5","0","0","0","0","0","33.1","128","23","8","8","2","6","1","2","1","0","40","10954"
"Michael Wacha","Cardinals","3","1","2.17","6","6","0","0","0","0","0","37.1","153","28","11","9","3","11","0","2","1","0","26","14078"
"Brett Anderson","Dodgers","1","2","2.27","6","6","1","0","0","0","0","35.2","142","35","10","9","2","10","1","1","3","1","28","8223"
"Gerrit Cole","Pirates","3","2","2.43","5","5","0","0","0","0","0","33.1","134","34","10","9","3","6","1","2","1","0","35","13125"
"David Price","Blue Jays","2","1","2.49","6","6","1","0","0","0","0","43.1","182","42","16","12","5","8","1","1","0","0","34","3184"
"Jason Hammel","Cubs","1","1","2.57","5","5","0","0","0","0","0","35.0","133","23","12","10","3","6","1","2","2","0","35","4538"
"Madison Bumgarner","Giants","4","1","2.61","6","6","0","0","0","0","0","38.0","155","31","11","11","5","8","0","0","0","0","35","5524"
"Dallas Keuchel","Astros","4","1","2.62","6","6","2","1","0","0","0","44.2","176","37","14","13","3","10","0","0","0","0","38","9434"
"Michael Lorenzen","Reds","1","0","2.63","6","4","0","0","0","0","0","27.1","111","17","8","8","2","18","0","1","0","0","13","14843"
"Chase Anderson","Diamondbacks","1","0","2.65","6","6","0","0","0","0","0","37.1","154","34","11","11","0","8","0","4","2","0","21","6895"
"Chris Sale","White Sox","2","1","2.68","5","5","0","0","0","0","0","37.0","143","23","12","11","4","9","0","1","1","0","46","10603"
"Cole Hamels","Rangers","4","2","2.70","6","6","0","0","0","0","0","43.1","173","35","13","13","3","9","1","3","4","0","44","4972"
"Jake Odorizzi","Rays","2","3","2.79","6","6","0","0","0","0","0","38.2","160","38","13","12","5","6","0","1","3","0","33","6397"
"Kyle Hendricks","Cubs","1","0","2.81","5","5","1","1","0","0","0","32.0","126","28","10","10","3","7","0","3","0","0","22","12049"
"Dan Haren","Cubs","3","1","2.82","6","6","0","0","0","0","0","38.1","154","39","12","12","4","4","1","1","1","0","26","1757"
"Tim Lincecum","Giants","4","1","2.83","6","6","0","0","0","0","0","35.0","146","27","11","11","3","16","0","1","3","0","29","5705"
"Jered Weaver","Angels","4","1","2.83","6","6","1","1","0","0","0","41.1","163","38","13","13","4","6","0","1","0","0","25","4235"
"Erasmo Ramirez","Rays","3","1","2.90","8","4","0","0","0","0","0","31.0","118","15","10","10","3","10","0","4","0","0","27","10314"
"Corey Kluber","Indians","3","2","2.95","6","6","0","0","0","0","0","42.2","170","37","15","14","4","6","0","3","1","0","60","2429"
"Chad Bettis","Rockies","2","0","2.96","4","4","0","0","0","0","0","27.1","110","23","9","9","0","6","0","0","0","0","22","10587"
"Jeff Samardzija","White Sox","3","0","3.00","5","5","0","0","0","0","0","36.0","148","34","15","12","3","7","0","0","0","0","32","3254"
"Michael Pineda","Yankees","3","2","3.00","5","5","0","0","0","0","0","33.0","137","35","14","11","4","3","0","0","2","0","35","5372"
"Jose Quintana","White Sox","1","5","3.05","6","6","0","0","0","0","0","38.1","159","34","14","13","1","14","1","2","2","0","39","11423"
"Roenis Elias","Mariners","2","2","3.05","6","6","0","0","0","0","0","38.1","158","37","13","13","6","13","0","0","1","0","28","12673"
"Wily Peralta","Brewers","1","2","3.10","5","5","0","0","0","0","0","29.0","122","31","11","10","5","8","1","2","0","0","23","7738"
"Matt Harvey","Mets","1","3","3.15","6","6","0","0","0","0","0","40.0","156","32","14","14","4","8","1","1","2","0","40","11713"
"Tyson Ross","Padres","1","3","3.16","6","6","0","0","0","0","0","37.0","159","38","15","13","0","14","1","2","2","0","34","7872"
"Garrett Richards","Angels","2","2","3.18","5","5","0","0","0","0","0","34.0","143","28","14","12","2","11","1","3","5","0","29","9784"
"Mike Pelfrey","Twins","2","1","3.21","5","5","0","0","0","0","0","28.0","121","31","11","10","1","7","0","4","0","0","11","5203"
"C.J. Wilson","Angels","2","1","3.23","6","6","0","0","0","0","0","39.0","159","35","15","14","3","12","0","2","5","0","31","3580"
"Nick Martinez","Rangers","2","1","3.25","6","6","0","0","0","0","0","36.0","157","38","17","13","4","11","1","5","0","0","24","12730"
"Chris Archer","Rays","2","2","3.28","6","6","0","0","0","0","0","35.2","146","29","13","13","2","14","0","0","2","0","45","6345"
"Lance Lynn","Cardinals","2","2","3.29","6","6","0","0","0","0","0","38.1","164","38","15","14","4","14","0","0","2","0","41","2520"
"Aaron Sanchez","Blue Jays","3","2","3.29","6","6","0","0","0","0","0","38.1","166","33","14","14","3","23","0","2","5","0","23","11490"
"Clay Buchholz","Red Sox","1","3","3.31","5","5","0","0","0","0","0","35.1","141","31","14","13","3","8","0","2","0","0","29","3543"
"Andrew Cashner","Padres","1","3","3.38","5","5","0","0","0","0","0","32.0","130","33","16","12","4","7","0","0","0","0","24","8782"
"Adam Warren","Yankees","2","3","3.41","6","6","0","0","0","0","0","37.0","146","30","15","14","5","11","0","1","1","0","24","9029"
"Wei-Yin Chen","Orioles","1","3","3.46","6","6","0","0","0","0","0","39.0","160","41","15","15","6","6","0","0","0","0","32","13071"
"Wade Miley","Red Sox","3","3","3.49","6","6","0","0","0","0","0","38.2","163","40","16","15","2","9","0","0","2","0","23","8779"
"Miguel Gonzalez","Orioles","3","2","3.52","6","6","0","0","0","0","0","38.1","156","30","16","15","5","11","2","3","0","0","29","7024"
"David Phelps","Marlins","1","2","3.57","6","6","0","0","0","0","0","35.1","151","38","17","14","3","9","0","1","2","0","24","6316"
"Yordano Ventura","Royals","1","2","3.71","5","5","0","0","0","0","0","34.0","133","31","14","14","3","8","0","0","3","0","29","11855"
"Tom Koehler","Marlins","1","1","3.72","7","6","0","0","0","0","0","36.1","154","31","17","15","4","17","1","1","0","0","27","6570"
"Trevor Bauer","Indians","2","2","3.72","6","6","0","0","0","0","0","38.2","162","35","16","16","4","12","0","1","3","0","37","12703"
"Yovani Gallardo","Rangers","3","3","3.75","6","6","0","0","0","0","0","36.0","152","34","18","15","4","11","0","0","1","0","19","8173"
"Mike Fiers","Astros","1","2","3.82","6","6","0","0","0","0","0","33.0","143","34","14","14","3","10","2","2","1","0","41","7754"
"Jimmy Nelson","Brewers","1","3","3.83","6","6","0","0","0","0","0","40.0","169","34","18","17","7","14","1","3","2","0","37","10547"
"Edinson Volquez","Royals","2","1","3.86","6","6","1","0","0","0","0","32.2","140","26","14","14","2","16","0","2","1","0","25","3990"
"Mike Foltynewicz","Braves","3","2","3.96","6","6","0","0","0","0","0","36.1","157","35","18","16","4","13","0","2","3","0","38","10811"
"Clayton Kershaw","Dodgers","2","1","3.97","5","5","0","0","0","0","0","34.0","139","28","15","15","2","9","1","1","2","1","40","2036"
"Jake Arrieta","Cubs","1","3","3.99","6","6","0","0","0","0","0","38.1","153","39","21","17","5","7","1","0","1","0","42","4153"
"Danny Salazar","Indians","2","1","4.04","6","6","0","0","0","0","0","35.2","149","30","18","16","5","11","1","2","2","1","43","5867"
"Carlos Carrasco","Indians","4","2","4.10","6","6","1","0","0","0","0","41.2","167","37","19","19","4","10","0","0","1","0","43","6632"
"Carlos Martinez","Cardinals","2","2","4.19","6","6","0","0","0","0","0","34.1","150","33","16","16","3","17","0","1","1","0","40","11682"
"Drew Hutchison","Blue Jays","2","1","4.21","6","6","1","1","0","0","0","36.1","147","37","17","17","3","5","0","1","1","0","33","10732"
"Ricky Nolasco","Twins","5","0","4.25","6","6","0","0","0","0","0","29.2","130","38","17","14","1","6","0","1","1","1","26","3830"
"John Danks","White Sox","2","2","4.29","6","6","1","1","0","0","0","35.2","154","40","21","17","5","12","0","1","3","0","27","6329"
"Jesse Hahn","Athletics","1","4","4.30","6","6","1","1","0","0","0","37.2","164","39","23","18","2","9","1","1","4","0","29","13287"
"Francisco Liriano","Pirates","1","3","4.33","6","6","0","0","0","0","0","35.1","147","30","18","17","4","12","0","1","1","0","45","3201"
"James Shields","Padres","4","0","4.34","6","6","0","0","0","0","0","37.1","158","38","18","18","11","10","0","2","0","0","47","7059"
"Ubaldo Jimenez","Orioles","1","2","4.34","5","5","0","0","0","0","0","29.0","129","37","14","14","2","6","0","0","1","0","25","3374"
"Rubby de la Rosa","Diamondbacks","2","1","4.38","6","6","0","0","0","0","0","39.0","156","30","19","19","6","11","0","1","0","0","34","3862"
"Johnny Cueto","Royals","1","2","4.45","4","4","0","0","0","0","0","28.1","117","29","14","14","4","7","0","0","0","2","22","6893"
"Nathan Eovaldi","Yankees","3","1","4.54","6","6","0","0","0","0","0","35.2","156","45","18","18","5","9","0","1","2","0","22","9132"
"Matt Shoemaker","Angels","1","3","4.54","6","6","0","0","0","0","0","35.2","144","29","20","18","9","9","1","1","0","0","36","4776"
"Gio Gonzalez","Nationals","3","0","4.54","6","6","0","0","0","0","0","35.2","150","40","18","18","2","10","0","1","1","0","34","7448"
"Alex Colome","Rays","3","1","4.55","6","6","0","0","0","0","0","29.2","124","33","15","15","4","5","0","1","1","0","22","6661"
"Chris Heston","Giants","3","1","4.58","6","6","1","0","0","0","0","35.1","152","37","18","18","4","9","0","1","1","0","29","10302"
"Carlos Frias","Dodgers","3","2","4.59","6","6","0","0","0","0","0","33.1","144","40","18","17","3","9","0","1","0","0","20","3547"
"Phil Hughes","Twins","4","0","4.64","5","5","0","0","0","0","0","33.0","139","38","17","17","6","4","0","1","0","0","15","7450"
"Scott Kazmir","Astros","0","3","4.65","6","6","0","0","0","0","0","31.0","140","32","19","16","5","16","0","1","1","0","27","4897"
"Kyle Kendrick","Rockies","1","3","4.68","5","5","0","0","0","0","0","32.2","135","26","17","17","5","9","0","3","0","0","13","6230"
"Kyle Lobstein","Tigers","1","4","4.85","5","5","0","0","0","0","0","29.2","128","36","17","16","3","8","0","0","1","0","10","9178"
"J.A. Happ","Pirates","1","0","4.94","6","6","0","0","0","0","0","31.0","137","35","17","17","4","10","1","1","1","0","25","7410"
"Jeremy Hellickson","Diamondbacks","2","0","4.98","6","6","0","0","0","0","0","34.1","144","31","19","19","7","10","1","1","1","0","23","4371"
"Mark Buehrle","Blue Jays","3","3","4.99","6","6","2","0","0","0","0","39.2","163","38","22","22","5","9","2","1","0","0","20","225"
"Chris Tillman","Orioles","0","5","5.03","6","6","0","0","0","0","0","34.0","148","37","20","19","3","15","0","2","0","0","28","5279"
"Julio Teheran","Braves","2","1","5.03","6","6","0","0","0","0","0","34.0","147","38","20","19","6","14","1","1","1","0","27","6797"
"Collin McHugh","Astros","2","2","5.08","6","6","0","0","0","0","0","39.0","165","43","22","22","8","7","0","5","0","0","29","7531"
"Tim Hudson","Giants","3","2","5.11","6","6","0","0","0","0","0","37.0","153","39","21","21","5","8","0","2","1","0","17","921"
"Anthony DeSclafani","Reds","1","3","5.34","6","6","0","0","0","0","0","32.0","147","35","19","19","2","19","2","0","0","0","20","13050"
"Colby Lewis","Rangers","3","1","5.35","6","6","0","0","0","0","0","35.1","152","37","23","21","3","9","0","2","0","0","31","1259"
"Rick Porcello","Red Sox","2","2","5.40","5","5","0","0","0","0","0","30.0","130","36","18","18","5","8","0","1","2","0","21","2717"
"CC Sabathia","Yankees","2","3","5.45","6","6","0","0","0","0","0","34.2","153","43","22","21","6","8","0","0","1","1","29","404"
"Trevor May","Twins","1","2","5.52","5","5","0","0","0","0","0","29.1","126","34","18","18","3","6","0","1","0","0","24","6398"
"Jon Niese","Mets","1","4","5.56","6","6","0","0","0","0","0","34.0","158","45","26","21","5","8","1","2","0","0","23","4424"
"Jeff Locke","Pirates","1","2","5.73","6","6","0","0","0","0","0","33.0","148","37","22","21","6","16","0","0","3","0","25","2929"
"Taijuan Walker","Mariners","1","3","5.74","6","6","0","0","0","0","0","31.1","137","33","21","20","7","12","0","0","0","0","28","11836"
"Kyle Lohse","Brewers","2","2","5.79","6","6","0","0","0","0","0","32.2","145","37","21","21","5","10","1","1","1","0","32","739"
"Shane Greene","Tigers","1","3","5.83","6","6","0","0","0","0","0","29.1","128","31","19","19","6","9","1","3","0","0","19","10756"
"Anibal Sanchez","Tigers","2","3","5.97","6","6","0","0","0","0","0","37.2","160","39","26","25","7","11","1","1","1","1","37","3284"
"Bartolo Colon","Mets","4","2","6.00","6","6","0","0","0","0","0","36.0","158","44","26","24","7","4","0","0","0","0","29","375"
"R.A. Dickey","Blue Jays","2","2","6.27","5","5","1","0","0","0","0","33.0","140","33","23","23","7","10","0","0","0","0","15","1245"
"Matt Garza","Brewers","1","4","6.34","6","5","0","0","0","0","0","32.2","145","33","23","23","5","16","2","0","0","0","27","3340"
"Ian Kennedy","Padres","2","4","6.40","6","6","0","0","0","0","0","32.1","141","34","23","23","9","11","0","2","0","0","33","6986"
"Joe Kelly","Red Sox","0","4","6.53","6","6","0","0","0","0","0","30.1","145","39","23","22","4","14","0","0","3","0","18","9761"
"Jerome Williams","Phillies","1","4","6.62","7","7","0","0","0","0","0","35.1","164","47","27","26","6","11","1","3","0","0","21","1137"
"Mike Leake","Giants","1","3","6.75","5","5","0","0","0","0","0","28.0","133","41","21","21","7","10","0","0","0","0","9","10130"
